0.005	-0.012	0.007	-0.009	0
0.01	-0.014	0.01	0.026	0
0.015	-0.01	0.012	0	0
0.02	-0.01	0.012	0.016	0
0.025	-0.012	0.012	-0.009	0
0.03	-0.012	0.011	-0.003	0
0.035	-0.014	0.013	0.035	0
0.04	-0.027	0.013	0	0
0.045	-0.024	0.013	0.008	0
0.05	-0.012	0.011	0.046	0
0.055	-0.014	0.011	0.018	0
0.06	-0.014	0.012	0.013	0
0.065	-0.012	0.012	0.016	0
0.07	-0.022	0.013	0.002	0
0.075	-0.012	0.015	0.008	0
0.08	-0.023	0.015	-0.006	0
0.085	-0.019	0.018	0.002	0
0.09	-0.01	0.018	0.013	0
0.095	-0.008	0.019	0.024	0
0.1	-0.01	0.017	-0.006	0
0.105	-0.019	0.017	0.008	0
0.11	-0.017	0.017	0.016	0
0.115	-0.01	0.016	0.008	0
0.12	-0.018	0.012	0.01	0
0.125	-0.012	0.012	-0.006	0
0.13	-0.02	0.012	0	0
0.135	-0.018	0.01	0.002	0
0.14	-0.012	0.009	0.008	0
0.145	-0.014	0.01	-0.006	0
0.15	-0.006	0.012	0.021	0
0.155	-0.014	0.011	0.008	0
0.16	-0.016	0.01	-0.006	0
0.165	-0.014	0.011	0.005	0
0.17	-0.012	0.009	0.024	0
0.175	-0.012	0.008	0.002	0
0.18	-0.01	0.01	0.002	0
0.185	-0.014	0.008	0.005	0
0.19	-0.02	0.007	0.002	0
0.195	-0.006	0.006	-0.009	0
0.2	0.002	0.01	0.024	0
0.205	-0.014	0.01	0.002	0
0.21	-0.004	0.007	-0.006	0
0.215	-0.016	0.009	0.01	0
0.22	-0.014	0.014	0.021	0
0.225	-0.016	0.011	-0.027	0
0.23	-0.01	0.016	0.016	0
0.235	-0.012	0.015	0.002	0
0.24	-0.01	0.017	0.018	0
0.245	0	0.016	0.008	0
0.25	-0.01	0.013	0.002	0
0.255	-0.012	0.011	0.01	0
0.26	-0.008	0.008	-0.003	0
0.265	-0.01	0.011	0.044	0
0.27	-0.008	0.004	-0.011	0
0.275	-0.012	0.005	0.013	0
0.28	-0.004	0.005	0.002	0
0.285	-0.006	0.004	0.008	0
0.29	-0.024	0.006	-0.009	0
0.295	-0.006	0.01	0.002	0
0.3	-0.016	0.005	-0.003	0
0.305	0	0.009	0.008	0
0.31	-0.008	0.007	0.013	0
0.315	-0.006	0.007	0.018	0
0.32	-0.008	0.008	0.01	0
0.325	-0.016	0.004	0.005	0
0.33	-0.012	0.002	0.016	0
0.335	-0.02	0	-0.003	0
0.34	-0.008	0.001	0	0
0.345	-0.006	0.003	0.005	0
0.35	-0.018	0.003	-0.011	0
0.355	-0.012	0.005	0.013	0
0.36	-0.012	0.007	0.016	0
0.365	-0.01	0.011	0.013	0
0.37	-0.02	0.01	-0.003	0
0.375	-0.014	0.012	0.018	0
0.38	-0.018	0.01	0	0
0.385	-0.022	0.01	0.005	0
0.39	-0.024	0.006	-0.022	0
0.395	0	0.01	0.018	0
0.4	0.002	0.006	0.013	0
0.405	-0.004	0.005	-0.006	0
0.41	-0.012	0.001	-0.009	0
0.415	-0.01	0.002	0.008	0
0.42	-0.012	-0.001	-0.022	0
0.425	-0.016	0.003	-0.003	0
0.43	-0.01	0.005	0.005	0
0.435	0	0.003	-0.003	0
0.44	0.002	0.005	0.008	0
0.445	-0.02	0.003	-0.003	0
0.45	-0.006	0.001	0.008	0
0.455	-0.01	0.001	0.016	0
0.46	-0.012	-0.002	0.002	0
0.465	-0.016	-0.004	-0.003	0
0.47	-0.014	-0.006	0.013	0
0.475	-0.009	-0.007	0.002	0
0.48	-0.026	-0.004	0.049	0
0.485	-0.014	-0.003	0.002	0
0.49	-0.024	-0.005	-0.009	0
0.495	-0.026	0.002	-0.006	0
0.5	-0.024	0.002	0	0
0.505	-0.016	0.005	0.016	0
0.51	-0.03	0.005	-0.011	0
0.515	-0.016	0.007	0.008	0
0.52	-0.008	0.007	0.01	0
0.525	-0.022	0	-0.011	0
0.53	-0.022	-0.001	-0.017	0
0.535	-0.007	-0.005	-0.039	0
0.54	-0.018	-0.002	-0.006	0
0.545	-0.008	-0.003	-0.014	0
0.55	-0.043	-0.004	0.005	0
0.555	-0.007	-0.004	-0.019	0
0.56	-0.024	-0.005	-0.006	0
0.565	-0.001	-0.007	-0.025	0
0.57	-0.022	-0.004	-0.019	0
0.575	-0.012	-0.002	-0.034	0
0.58	-0.022	-0.001	-0.022	0
0.585	-0.041	-0.002	-0.019	0
0.59	-0.028	-0.004	0.026	0
0.595	-0.009	-0.007	0.013	0
0.6	-0.022	-0.007	0.008	0
0.605	-0.024	-0.011	0.008	0
0.61	-0.021	-0.014	-0.022	0
0.615	-0.027	-0.017	-0.006	0
0.62	-0.027	-0.017	-0.03	0
0.625	0.001	-0.016	-0.003	0
0.63	-0.015	-0.013	-0.014	0
0.635	-0.02	-0.007	0	0
0.64	-0.016	-0.007	-0.006	0
0.645	-0.039	-0.005	0	0
0.65	-0.026	-0.001	0.021	0
0.655	-0.006	-0.002	0.026	0
0.66	-0.016	-0.003	0.013	0
0.665	-0.037	-0.005	-0.022	0
0.67	-0.004	0	0.041	0
0.675	-0.018	-0.003	0.035	0
0.68	-0.028	-0.007	-0.025	0
0.685	-0.011	-0.006	0.029	0
0.69	-0.003	-0.004	0.026	0
0.695	-0.022	-0.005	0.021	0
0.7	-0.018	-0.003	-0.014	0
0.705	-0.01	-0.003	0	0
0.71	-0.008	0	0.008	0
0.715	-0.014	-0.004	-0.006	0
0.72	-0.008	0	0.016	0
